# time(s), pre_rot_eig1, pre_rot_eig2, pre_rot_eig3, pre_trans_eig1, pre_trans_eig2, pre_trans_eig3, post_rot_eig1, post_rot_eig2, post_rot_eig3, post_trans_eig1, post_trans_eig2, post_trans_eig3, cam_used[0], cam_used[1], level0_avg_total_rows
1618223075.308629751, 0.000000212, 0.000000330, 0.000000498, 0.000001152, 0.000002294, 0.000002788, 0.000000212, 0.000000330, 0.000000498, 0.000001152, 0.000002294, 0.000002788, 1, 1, 89.000000000
1618223075.341962576, 0.000000305, 0.000000570, 0.000000701, 0.000001578, 0.000002572, 0.000003457, 0.000000305, 0.000000570, 0.000000701, 0.000001578, 0.000002572, 0.000003457, 1, 1, 91.000000000
1618223075.408628464, 0.000000120, 0.000000133, 0.000000239, 0.000000933, 0.000001547, 0.000002620, 0.000000120, 0.000000133, 0.000000239, 0.000000933, 0.000001547, 0.000002620, 1, 1, 84.000000000
1618223075.441961288, 0.000000251, 0.000000462, 0.000000530, 0.000001282, 0.000001934, 0.000003293, 0.000000251, 0.000000462, 0.000000530, 0.000001282, 0.000001934, 0.000003293, 1, 1, 69.000000000
1618223075.475294113, 0.000000150, 0.000000258, 0.000000327, 0.000001927, 0.000002208, 0.000003160, 0.000000150, 0.000000258, 0.000000327, 0.000001927, 0.000002208, 0.000003160, 1, 1, 84.000000000
1618223075.508627176, 0.000000196, 0.000000316, 0.000000437, 0.000000933, 0.000002507, 0.000002821, 0.000000196, 0.000000316, 0.000000437, 0.000000933, 0.000002507, 0.000002821, 1, 1, 76.000000000
1618223075.575293064, 0.000000074, 0.000000115, 0.000000125, 0.000001053, 0.000001349, 0.000002449, 0.000000074, 0.000000115, 0.000000125, 0.000001053, 0.000001349, 0.000002449, 1, 1, 76.000000000
1618223075.608625889, 0.000000310, 0.000000318, 0.000000439, 0.000001054, 0.000001704, 0.000002699, 0.000000310, 0.000000318, 0.000000439, 0.000001054, 0.000001704, 0.000002699, 1, 1, 67.000000000
1618223075.641958714, 0.000000243, 0.000000355, 0.000000630, 0.000001314, 0.000002020, 0.000003270, 0.000000243, 0.000000355, 0.000000630, 0.000001314, 0.000002020, 0.000003270, 1, 1, 65.000000000
1618223075.675291777, 0.000000108, 0.000000174, 0.000000216, 0.000001681, 0.000001942, 0.000002310, 0.000000108, 0.000000174, 0.000000216, 0.000001681, 0.000001942, 0.000002310, 1, 1, 75.000000000
1618223075.708624601, 0.000000198, 0.000000223, 0.000000366, 0.000001348, 0.000002070, 0.000002326, 0.000000198, 0.000000223, 0.000000366, 0.000001348, 0.000002070, 0.000002326, 1, 1, 67.000000000
1618223075.741957426, 0.000000072, 0.000000171, 0.000000269, 0.000001449, 0.000001541, 0.000002681, 0.000000072, 0.000000171, 0.000000269, 0.000001449, 0.000001541, 0.000002681, 1, 1, 90.000000000
1618223075.808623314, 0.000000042, 0.000000081, 0.000000091, 0.000000619, 0.000000881, 0.000002069, 0.000000042, 0.000000081, 0.000000091, 0.000000619, 0.000000881, 0.000002069, 1, 1, 83.000000000
1618223075.841956139, 0.000000062, 0.000000183, 0.000000469, 0.000000855, 0.000001186, 0.000002512, 0.000000062, 0.000000183, 0.000000469, 0.000000855, 0.000001186, 0.000002512, 1, 1, 79.000000000
1618223075.875289202, 0.000000105, 0.000000155, 0.000000308, 0.000001305, 0.000001811, 0.000002653, 0.000000105, 0.000000155, 0.000000308, 0.000001305, 0.000001811, 0.000002653, 1, 1, 76.000000000
1618223075.908622026, 0.000000130, 0.000000261, 0.000000349, 0.000001300, 0.000001573, 0.000002786, 0.000000130, 0.000000261, 0.000000349, 0.000001300, 0.000001573, 0.000002786, 1, 1, 72.000000000
1618223075.941955090, 0.000000077, 0.000000179, 0.000000440, 0.000001386, 0.000001615, 0.000002896, 0.000000077, 0.000000179, 0.000000440, 0.000001386, 0.000001615, 0.000002896, 1, 1, 74.000000000
