# time(s), pre_rot_eig1, pre_rot_eig2, pre_rot_eig3, pre_trans_eig1, pre_trans_eig2, pre_trans_eig3, post_rot_eig1, post_rot_eig2, post_rot_eig3, post_trans_eig1, post_trans_eig2, post_trans_eig3, cam_used[0], cam_used[1], cam_used[2], cam_used[3], level0_avg_total_rows
1646305752.251920938, 0.000000001, 0.000000002, 0.000000003, 0.000000035, 0.000000048, 0.000000217, 0.000000001, 0.000000002, 0.000000003, 0.000000034, 0.000000047, 0.000000216, 1, 1, 1, 1, 29.000000000
1646305753.101887941, 0.000000002, 0.000000014, 0.000000015, 0.000000335, 0.000000659, 0.000001747, 0.000000002, 0.000000014, 0.000000015, 0.000000335, 0.000000653, 0.000001728, 1, 1, 1, 1, 69.000000000
1646305753.301880121, 0.000000004, 0.000000017, 0.000000027, 0.000000216, 0.000000263, 0.000001273, 0.000000004, 0.000000017, 0.000000026, 0.000000215, 0.000000262, 0.000001232, 1, 1, 1, 1, 78.000000000
1646305753.526871443, 0.000000003, 0.000000013, 0.000000024, 0.000000097, 0.000000118, 0.000000510, 0.000000003, 0.000000013, 0.000000024, 0.000000097, 0.000000118, 0.000000509, 1, 1, 1, 0, 27.000000000
1646305754.351839304, 0.000000005, 0.000000018, 0.000000023, 0.000000200, 0.000000940, 0.000001681, 0.000000005, 0.000000018, 0.000000023, 0.000000200, 0.000000934, 0.000001639, 1, 1, 1, 1, 30.000000000
1646305754.501833439, 0.000000040, 0.000000132, 0.000000457, 0.000000520, 0.000002353, 0.000008382, 0.000000039, 0.000000129, 0.000000321, 0.000000509, 0.000001966, 0.000005971, 1, 1, 1, 1, 101.000000000
1646305754.676826715, 0.000000005, 0.000000010, 0.000000059, 0.000000023, 0.000000148, 0.000003555, 0.000000005, 0.000000010, 0.000000056, 0.000000023, 0.000000144, 0.000002446, 1, 1, 1, 1, 187.000000000
1646305755.251804352, 0.000000004, 0.000000016, 0.000000041, 0.000000131, 0.000000761, 0.000004144, 0.000000004, 0.000000016, 0.000000036, 0.000000130, 0.000000698, 0.000002763, 1, 1, 1, 1, 221.000000000
1646305755.451796532, 0.000000004, 0.000000017, 0.000000023, 0.000000186, 0.000000736, 0.000002112, 0.000000004, 0.000000017, 0.000000023, 0.000000185, 0.000000701, 0.000001853, 1, 1, 1, 1, 218.000000000
1646305755.751784801, 0.000000003, 0.000000009, 0.000000017, 0.000000157, 0.000000580, 0.000001109, 0.000000003, 0.000000009, 0.000000017, 0.000000155, 0.000000546, 0.000000953, 1, 1, 1, 1, 190.000000000
